feature,importance
PageValues,0.3899741647234768
ProductRelated_Duration,0.09228047865630486
ExitRates,0.09180588082653207
ProductRelated,0.06770961505310165
BounceRates,0.05675805840601683
Administrative_Duration,0.05027541129696556
Administrative,0.034067202971064775
Month_Nov,0.03157163591950602
TrafficType,0.028121982678039933
Region,0.026139068961016313
Informational_Duration,0.02133557825562762
Browser,0.01633606320492291
OperatingSystems,0.015109778382729968
Informational,0.014445753066286914
Month_May,0.010953679382437171
VisitorType_Returning_Visitor,0.010318562853847996
Weekend,0.007784884075268637
Month_Mar,0.006957433533927441
Month_Dec,0.005815638020940118
SpecialDay,0.005271086270287712
Month_Oct,0.005084810321624302
Month_Sep,0.004722174990526531
Month_Jul,0.004543284250386097
Month_June,0.0016658334741726732
Month_Feb,0.0005327157773629723
VisitorType_Other,0.00041922464762601466
